,APINumber,WellName,CountyName,OperatorName,StateName,TotalBaseNonWaterVolume
7686,42475366600000,H.S.A. 1758,Ward,Whiting Petroleum,Texas,1618.0
7687,42475330790000,H.S.A. 1258,Ward,Whiting Petroleum,Texas,1348.0
7688,42081321190000,W.C. Blanks #5C,Coke,"FireWheel Operating, LLC",Texas,12236.0
7689,34019225880000,KRUPRZAK 17-13-4 6H,Carroll,"Chesapeake Operating, Inc.",Ohio,813551.0
7690,42135429420000,CAG 2423,Ector,XTO Energy/ExxonMobil,Texas,26397.0
7691,35151241630000,Dubben 2613 4H-23A,Woods,Midstates Petroleum Company,Oklahoma,126118.0
7692,30025419220000,Garnet Federal #001,Lea,ConocoPhillips Company/Burlington Resources,New Mexico,46197.0
7693,35003230170000,ROUSH 10-25-12 1H,Alfalfa,"Chesapeake Operating, Inc.",Oklahoma,36633.0
7695,35063244650000,Virgie 1-21H,Hughes,PetroQuest Energy LLC,Oklahoma,840294.0
7696,42003464640000,University 13-39 #8,Andrews,SandRidge Energy,Texas,27842.0
7697,42003464810000,University 13-34 #19,Andrews,SandRidge Energy,Texas,69487.0
7698,42103364170000,University Devonian 44 #1,Crane,Apache Corporation,Texas,16773.0
7699,42173364420000,Brunson 1322,Glasscock,Three Rivers Operating Co II LLC,Texas,74481.0
7700,42479420610000,PGE DOS A1H,Webb,"Chesapeake Operating, Inc.",Texas,482907.0
7701,42507331640000,Winterbotham Zav I #3H,Zavala,"EXCO Resources, Inc.",Texas,41437.0
7702,49007244940000,Champlin 261 L 50D,Carbon,BP America Production Company,Wyoming,1293.0
7703,49007244960000,Champlin 261 L 20D,Carbon,BP America Production Company,Wyoming,1070.0
7704,49007244970000,Champlin 261 L 30D,Carbon,BP America Production Company,Wyoming,1405.0
7705,34081205490000,SCHIAPPA TRUST B 20-7-2 3H,Jefferson,"Chesapeake Operating, Inc.",Ohio,488260.0
7706,42475101390000,H.S.A. 1010W,Ward,Whiting Petroleum,Texas,1343.0
7707,42107318870000,Clark Wood Ranch F511,Crosby,"Juno Operating Company II, LLC",Texas,1939.0
7708,42475101670000,H.S.A. 563W,Ward,Whiting Petroleum,Texas,1818.0
7709,42107318960000,Clark Wood Ranch K167,Crosby,"Juno Operating Company II, LLC",Texas,1939.0
7710,42081321200000,W.C. Blanks #19,Coke,"FireWheel Operating, LLC",Texas,10164.0
7711,35037292380000,Sears 1-33H,Creek,Pantera Energy Company,Oklahoma,667590.0
7712,35129239500000,PARKER 4-13-23 1H,Roger Mills,"Chesapeake Operating, Inc.",Oklahoma,100414.0
7713,37113201450000,RIDENOUR NE SUL 1H,Sullivan,"Chesapeake Operating, Inc.",Pennsylvania,476378.0
7715,42357334710000,Mcgarraugh Et Al `D` 1523HC,Ochiltree,MEWBOURNE OIL COMPANY,Texas,305695.802
7716,42439369070000,CASTLEBERRY TRT 1H,Tarrant,"Chesapeake Operating, Inc.",Texas,247077.0
7717,42439369980000,AIRPORT CROSSING JV 2H,Tarrant,"Chesapeake Operating, Inc.",Texas,327510.0
7718,42329394420000,Davidson 36-6,Midland,Athlon Energy Operating LLC,Texas,691138.16893
7719,42461393930000,Kassidy 2715,Upton,Summit Petroleum LLC,Texas,60283.0
7720,42461395680000,McElroy Ranch B 1924WB,Upton,XTO Energy/ExxonMobil,Texas,123855.0
7721,17027221220000,Hatter A-2,Claiborne,"Petro Hunt, L.L.C.",Louisiana,5277.0
7722,34067212720000,RH Tarbert MRF HR  1H,Harrison,American Energy Utica,Ohio,100500.0
7723,35051238000000,M R BROWN - # 1-2,Grady,"Sheridan Production Company, LLC",Oklahoma,46664.0
7724,35085211310000,Lois #1-6,Love,"GLB Exploration, Inc.",Oklahoma,63000.0
7725,37007203610000,KIRKWOOD BEA 8H,Beaver,"Chesapeake Operating, Inc.",Pennsylvania,347896.0
7726,37131203840000,DUNNY WYO 4H,Wyoming,"Chesapeake Operating, Inc.",Pennsylvania,659854.0
7727,42003459460000,Scarborough Unit 2018,Andrews,"Texland Petroleum, LP",Texas,19304.0
7728,42003464690000,University 13-34 #11,Andrews,SandRidge Energy,Texas,69337.0
7729,42401346160000,E H PEPPER GAS UNIT - # 14,Rusk,Samson,Texas,6572.0
7730,42487330250000,Bluff Creek A-10,Wilbarger,W.T. Waggoner Estate,Texas,1349.0
7732,42461367290000,Cowden C #4,Upton,Stout Energy Inc.,Texas,103.21115229
7733,42495335970000,Cowden C #4,Winkler,Stout Energy Inc.,Texas,96869.682258
7734,30015418940000,Andrew Arnquist Estate #005,Eddy,Legacy Reserves Operating LP,New Mexico,14309.0
